student_id,class_id,date,status
ST0001,C1A,2026-06-01,absent
ST0002,C1A,2026-06-01,absent
ST0003,C1A,2026-06-01,absent
ST0004,C1A,2026-06-01,present
ST0005,C1A,2026-06-01,present
ST0006,C1A,2026-06-01,absent
ST0007,C1A,2026-06-01,present
ST0008,C1A,2026-06-01,absent
ST0009,C1A,2026-06-01,present
ST0010,C1A,2026-06-01,present
ST0011,C1A,2026-06-01,present
ST0012,C1A,2026-06-01,present
ST0013,C1A,2026-06-01,present
ST0014,C1A,2026-06-01,present
ST0015,C1A,2026-06-01,absent
ST0016,C1A,2026-06-01,absent
ST0017,C1A,2026-06-01,present
ST0018,C1A,2026-06-01,present
ST0019,C1A,2026-06-01,present
ST0020,C1A,2026-06-01,present
ST0021,C1A,2026-06-01,absent
ST0022,C1A,2026-06-01,present
ST0023,C1A,2026-06-01,present
ST0024,C1A,2026-06-01,present
ST0025,C1A,2026-06-01,present
ST0026,C1A,2026-06-01,present
ST0027,C1A,2026-06-01,absent
ST0028,C1A,2026-06-01,present
ST0029,C1A,2026-06-01,present
ST0030,C1A,2026-06-01,absent
ST0031,C1A,2026-06-01,absent
ST0032,C1A,2026-06-01,present
ST0033,C1A,2026-06-01,present
ST0034,C1A,2026-06-01,present
ST0035,C1A,2026-06-01,absent
ST0036,C1A,2026-06-01,present
ST0037,C1A,2026-06-01,present
ST0038,C1A,2026-06-01,present
ST0039,C1A,2026-06-01,present
ST0040,C1A,2026-06-01,absent
ST0041,C1A,2026-06-01,present
ST0042,C1A,2026-06-01,present
ST0043,C1A,2026-06-01,present
ST0044,C1A,2026-06-01,present
ST0045,C1A,2026-06-01,absent
ST0046,C1A,2026-06-01,present
ST0047,C1A,2026-06-01,absent
ST0048,C1A,2026-06-01,absent
ST0049,C1A,2026-06-01,absent
ST0050,C1A,2026-06-01,present
ST0051,C1B,2026-06-01,absent
ST0052,C1B,2026-06-01,present
ST0053,C1B,2026-06-01,present
ST0054,C1B,2026-06-01,present
ST0055,C1B,2026-06-01,absent
ST0056,C1B,2026-06-01,absent
ST0057,C1B,2026-06-01,absent
ST0058,C1B,2026-06-01,present
ST0059,C1B,2026-06-01,present
ST0060,C1B,2026-06-01,absent
ST0061,C1B,2026-06-01,absent
ST0062,C1B,2026-06-01,absent
ST0063,C1B,2026-06-01,absent
ST0064,C1B,2026-06-01,present
ST0065,C1B,2026-06-01,absent
ST0066,C1B,2026-06-01,present
ST0067,C1B,2026-06-01,present
ST0068,C1B,2026-06-01,present
ST0069,C1B,2026-06-01,present
ST0070,C1B,2026-06-01,present
ST0071,C1B,2026-06-01,absent
ST0072,C1B,2026-06-01,absent
ST0073,C1B,2026-06-01,present
ST0074,C1B,2026-06-01,present
ST0075,C1B,2026-06-01,absent
ST0076,C1B,2026-06-01,present
ST0077,C1B,2026-06-01,present
ST0078,C1B,2026-06-01,absent
ST0079,C1B,2026-06-01,absent
ST0080,C1B,2026-06-01,absent
ST0081,C1B,2026-06-01,present
ST0082,C1B,2026-06-01,absent
ST0083,C1B,2026-06-01,absent
ST0084,C1B,2026-06-01,present
ST0085,C1B,2026-06-01,present
ST0086,C1B,2026-06-01,present
ST0087,C1B,2026-06-01,present
ST0088,C1B,2026-06-01,present
ST0089,C1B,2026-06-01,present
ST0090,C1B,2026-06-01,present
ST0091,C1B,2026-06-01,present
ST0092,C1B,2026-06-01,present
ST0093,C1B,2026-06-01,present
ST0094,C1B,2026-06-01,present
ST0095,C1B,2026-06-01,present
ST0096,C1B,2026-06-01,present
ST0097,C1B,2026-06-01,present
ST0098,C1B,2026-06-01,present
ST0099,C1B,2026-06-01,present
ST0100,C1B,2026-06-01,absent
ST0101,C2A,2026-06-01,present
ST0102,C2A,2026-06-01,present
ST0103,C2A,2026-06-01,present
ST0104,C2A,2026-06-01,absent
ST0105,C2A,2026-06-01,absent
ST0106,C2A,2026-06-01,present
ST0107,C2A,2026-06-01,absent
ST0108,C2A,2026-06-01,absent
ST0109,C2A,2026-06-01,absent
ST0110,C2A,2026-06-01,absent
ST0111,C2A,2026-06-01,absent
ST0112,C2A,2026-06-01,present
ST0113,C2A,2026-06-01,absent
ST0114,C2A,2026-06-01,present
ST0115,C2A,2026-06-01,present
ST0116,C2A,2026-06-01,present
ST0117,C2A,2026-06-01,absent
ST0118,C2A,2026-06-01,absent
ST0119,C2A,2026-06-01,absent
ST0120,C2A,2026-06-01,present
ST0121,C2A,2026-06-01,absent
ST0122,C2A,2026-06-01,present
ST0123,C2A,2026-06-01,absent
