student_id,subject,exam,marks,max_marks
ST0001,Mathematics,Midterm,43,100
ST0001,Mathematics,Final,57,100
ST0001,Science,Midterm,50,100
ST0001,Science,Final,45,100
ST0001,English,Midterm,89,100
ST0001,English,Final,95,100
ST0001,Social Studies,Midterm,90,100
ST0001,Social Studies,Final,73,100
ST0001,Computer Science,Midterm,40,100
ST0001,Computer Science,Final,74,100
ST0002,Mathematics,Midterm,87,100
ST0002,Mathematics,Final,83,100
ST0002,Science,Midterm,49,100
ST0002,Science,Final,91,100
ST0002,English,Midterm,55,100
ST0002,English,Final,73,100
ST0002,Social Studies,Midterm,49,100
ST0002,Social Studies,Final,94,100
ST0002,Computer Science,Midterm,68,100
ST0002,Computer Science,Final,41,100
ST0003,Mathematics,Midterm,43,100
ST0003,Mathematics,Final,99,100
ST0003,Science,Midterm,86,100
ST0003,Science,Final,61,100
ST0003,English,Midterm,63,100
ST0003,English,Final,37,100
ST0003,Social Studies,Midterm,73,100
ST0003,Social Studies,Final,76,100
ST0003,Computer Science,Midterm,55,100
ST0003,Computer Science,Final,62,100
ST0004,Mathematics,Midterm,79,100
ST0004,Mathematics,Final,86,100
ST0004,Science,Midterm,69,100
ST0004,Science,Final,96,100
ST0004,English,Midterm,36,100
ST0004,English,Final,54,100
ST0004,Social Studies,Midterm,100,100
ST0004,Social Studies,Final,43,100
ST0004,Computer Science,Midterm,97,100
ST0004,Computer Science,Final,86,100
ST0005,Mathematics,Midterm,42,100
ST0005,Mathematics,Final,99,100
ST0005,Science,Midterm,54,100
ST0005,Science,Final,84,100
ST0005,English,Midterm,48,100
ST0005,English,Final,73,100
ST0005,Social Studies,Midterm,67,100
ST0005,Social Studies,Final,54,100
ST0005,Computer Science,Midterm,49,100
ST0005,Computer Science,Final,54,100
ST0006,Mathematics,Midterm,46,100
ST0006,Mathematics,Final,42,100
ST0006,Science,Midterm,51,100
ST0006,Science,Final,72,100
ST0006,English,Midterm,52,100
ST0006,English,Final,56,100
ST0006,Social Studies,Midterm,76,100
ST0006,Social Studies,Final,56,100
ST0006,Computer Science,Midterm,72,100
ST0006,Computer Science,Final,54,100
ST0007,Mathematics,Midterm,92,100
ST0007,Mathematics,Final,54,100
ST0007,Science,Midterm,78,100
ST0007,Science,Final,50,100
ST0007,English,Midterm,51,100
ST0007,English,Final,77,100
ST0007,Social Studies,Midterm,80,100
ST0007,Social Studies,Final,45,100
ST0007,Computer Science,Midterm,57,100
ST0007,Computer Science,Final,71,100
ST0008,Mathematics,Midterm,94,100
ST0008,Mathematics,Final,90,100
ST0008,Science,Midterm,94,100
ST0008,Science,Final,37,100
ST0008,English,Midterm,52,100
ST0008,English,Final,48,100
ST0008,Social Studies,Midterm,38,100
ST0008,Social Studies,Final,96,100
ST0008,Computer Science,Midterm,58,100
ST0008,Computer Science,Final,98,100
ST0009,Mathematics,Midterm,93,100
